accession,taxon_1,taxon_2,taxon_3,taxon_4,taxon_5,taxon_6,taxon_7,taxon_8,taxon_9,taxon_10,name,source,env_material,env_biome,biotic_relationship,specific_host,host_name,geo_loc_name,publication,authors,journal,organism_gb,clone_gb ,environment_gb,host_gb,country_gb,publication_gb,authors_gb,journal_gb
GQ462851.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Petalomonadida,Eupetalomonads,Eupetalomonads,Eupetalomonads,Eupetalomonads,s28s_12 ,environmental,Bradypus pygmaeus hair (ENVO missing),NA,free-living,NA,NA,Panama: Isla Escudo de Veraguas,"Molecular evidence for a diverse green algal community growing in the hair of sloths and a specific association with Trichophilus welckeri (Chlorophyta, Ulvophyceae)","Suutari,M., Majaneva,M., Fewer,D.P., Voirin,B., Aiello,A., Friedl,T., Chiarello,A.G. and Blomster,J.","BMC Evol. Biol. 10, 86 (2010)",uncultured eukaryote,s28s_12,hair,Bradypus pygmaeus,Panama: Isla Escudo de Veraguas,"Molecular evidence for a diverse green algal community growing in the hair of sloths and a specific association with Trichophilus welckeri (Chlorophyta, Ulvophyceae)","Suutari,M., Majaneva,M., Fewer,D.P., Voirin,B., Aiello,A., Friedl,T., Chiarello,A.G. and Blomster,J.","BMC Evol. Biol. 10, 86 (2010)"
GQ899152.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Eutreptiales,Eutreptiidae ,Eutreptiella eupharyngea clade,Eutreptiella eupharyngea,JJ18S_9 ,environmental,surface water (ENVO:00002042),marine (ENVO:00000447),free-living,NA,NA,Korea: Jangjado Island,"Effective molecular examination of eukaryotic plankton species diversity in environmental seawater using environmental PCR, PCR-RFLP and sequencing","Lee,S.-R., Oak,J.H., Chung,I.K. and Lee,J.A.","J. Appl. Phycol. 22 (6), 699-707 (2010)",uncultured eukaryote,JJ18S_9,seawater,NA,NA,"Effective molecular examination of eukaryotic plankton species diversity in environmental seawater using environmental PCR, PCR-RFLP and sequencing","Lee,S.-R., Oak,J.H., Chung,I.K. and Lee,J.A.","J. Appl. Phycol. 22 (6), 699-707 (2010)"
GU072117.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Petalomonadida,Eupetalomonads,Notosolenus,Notosolenus,Notosolenus urceolatus,G513F3 ,environmental,anaerobic sediment (ENVO:00002045),marine (ENVO:00000447),free-living,NA,NA,Arabian Sea,Fungal diversity in oxygen-depleted regions of the Arabian Sea revealed by targeted environmental sequencing combined with cultivation,"Jebaraj,C.S., Raghukumar,C., Behnke,A. and Stoeck,T.",FEMS Microbiol. Ecol. (2009) In press,uncultured eukaryote,G513F3,"Arabian Sea sediment, anoxic season",NA,NA,Fungal diversity in oxygen-depleted regions of the Arabian Sea revealed by targeted environmental sequencing combined with cultivation,"Jebaraj,C.S., Raghukumar,C., Behnke,A. and Stoeck,T.",FEMS Microbiol. Ecol. (2009) In press
GU072508.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Petalomonadida,Eupetalomonads,Eupetalomonads,Eupetalomonads,Eupetalomonads,PS13B8 ,environmental,sand (ENVO:01000017),marine coral reef (ENVO:01000049),free-living,NA,NA,Arabian Sea: Lakshwadeep,Fungal diversity in oxygen-depleted regions of the Arabian Sea revealed by targeted environmental sequencing combined with cultivation,"Jebaraj,C.S., Raghukumar,C., Behnke,A. and Stoeck,T.",FEMS Microbiol. Ecol. (2009) In press,uncultured eukaryote,PS13B8,"Arabian Sea, Lakshwadeep coral reef sand",NA,NA,Fungal diversity in oxygen-depleted regions of the Arabian Sea revealed by targeted environmental sequencing combined with cultivation,"Jebaraj,C.S., Raghukumar,C., Behnke,A. and Stoeck,T.",FEMS Microbiol. Ecol. (2009) In press
GU253967.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenophyceae,Euglenea,Euglenaceae,Euglena,Euglena velata,Euglena velata CCAC 0136,culture,pond water (ENVO:00002228),freshwater pool (ENVO missing),free-living,NA,NA,Austria: Hohenau: forest,Solexa amplification and sequencing of rRNA genes from the chloroplast and the cytoplasm of Euglena velata and determination of its phylogenetic position within Euglenales,"Kwiatowski,J., Karnkowska-Ishikawa,A., Dunin-Horkawicz,S. and Ayala,F.J.",Unpublished,Euglena velata,NA,NA,NA,NA,Solexa amplification and sequencing of rRNA genes from the chloroplast and the cytoplasm of Euglena velata and determination of its phylogenetic position within Euglenales,"Kwiatowski,J., Karnkowska-Ishikawa,A., Dunin-Horkawicz,S. and Ayala,F.J.",Unpublished
GU477295.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Petalomonadida,Eupetalomonads,Petalomonas,Petalomonas,Petalomonas sphagnophila,Petalomonas sphagnophila 18S-Dunc,isolate,biofilm (ENVO:00002034),sphagnum moss (ENVO missing),free-living,NA,NA,Canada: Nova Scotia: Duncans Cove,"Complex array of endobionts in Petalomonas sphagnophila, a large heterotrophic euglenid protist from Sphagnum-dominated peatlands","Kim,E., Park,J.S., Simpson,A.G., Matsunaga,S., Watanabe,M., Murakami,A., Sommerfeld,K., Onodera,N.T. and Archibald,J.M.","ISME J 4 (9), 1108-1120 (2010)",Petalomonas sphagnophila,18S-Dunc,peatland within Duncan's Cove,NA,Canada: Nova Scotia,"Complex array of endobionts in Petalomonas sphagnophila, a large heterotrophic euglenid protist from Sphagnum-dominated peatlands","Kim,E., Park,J.S., Simpson,A.G., Matsunaga,S., Watanabe,M., Murakami,A., Sommerfeld,K., Onodera,N.T. and Archibald,J.M.","ISME J 4 (9), 1108-1120 (2010)"
GU477296.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Petalomonadida,Eupetalomonads,Petalomonas,Petalomonas,Petalomonas sphagnophila,Petalomonas sphagnophila 18S-HF,isolate,biofilm (ENVO:00002034),sphagnum moss (ENVO missing),free-living,NA,NA,Canada: Nova Scotia: Harrietsfield Bog,"Complex array of endobionts in Petalomonas sphagnophila, a large heterotrophic euglenid protist from Sphagnum-dominated peatlands","Kim,E., Park,J.S., Simpson,A.G., Matsunaga,S., Watanabe,M., Murakami,A., Sommerfeld,K., Onodera,N.T. and Archibald,J.M.","ISME J 4 (9), 1108-1120 (2010)",Petalomonas sphagnophila,18S-HF,Harrietsfield Bog,NA,Canada: Nova Scotia,"Complex array of endobionts in Petalomonas sphagnophila, a large heterotrophic euglenid protist from Sphagnum-dominated peatlands","Kim,E., Park,J.S., Simpson,A.G., Matsunaga,S., Watanabe,M., Murakami,A., Sommerfeld,K., Onodera,N.T. and Archibald,J.M.","ISME J 4 (9), 1108-1120 (2010)"
GU477297.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Petalomonadida,Eupetalomonads,Petalomonas,Petalomonas,Petalomonas sphagnophila,Petalomonas sphagnophila 18S-Liz,isolate,biofilm (ENVO:00002034),sphagnum moss (ENVO missing),free-living,NA,NA,Canada: Nova Scotia: Lizard Lake,"Complex array of endobionts in Petalomonas sphagnophila, a large heterotrophic euglenid protist from Sphagnum-dominated peatlands","Kim,E., Park,J.S., Simpson,A.G., Matsunaga,S., Watanabe,M., Murakami,A., Sommerfeld,K., Onodera,N.T. and Archibald,J.M.","ISME J 4 (9), 1108-1120 (2010)",Petalomonas sphagnophila,18S-Liz,Lizard Lake,NA,Canada: Nova Scotia,"Complex array of endobionts in Petalomonas sphagnophila, a large heterotrophic euglenid protist from Sphagnum-dominated peatlands","Kim,E., Park,J.S., Simpson,A.G., Matsunaga,S., Watanabe,M., Murakami,A., Sommerfeld,K., Onodera,N.T. and Archibald,J.M.","ISME J 4 (9), 1108-1120 (2010)"
GU820748.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Symbiontida,Postgaardida,Postgaardida,Postgaardida,Postgaardida,BCI5F15RM1D10 ,environmental,micro-oxic water (ENVO missing),marine anoxic zone (ENVO:01000066),free-living,NA,NA,Caribbean Sea: Cariaco Basin,"Protistan microbial observatory in the Cariaco Basin, Caribbean. I. Pyrosequencing vs Sanger insights into species richness","Edgcomb,V., Orsi,W., Bunge,J., Jeon,S., Christen,R., Leslin,C., Holder,M., Taylor,G.T., Suarez,P., Varela,R. and Epstein,S.","ISME J 5 (8), 1344-1356 (2011)",uncultured euglenozoan,BCI5F15RM1D10,"micro-oxic water column sample, Cariaco Basin, Caribbean Sea",NA,NA,"Protistan microbial observatory in the Cariaco Basin, Caribbean. I. Pyrosequencing vs Sanger insights into species richness","Edgcomb,V., Orsi,W., Bunge,J., Jeon,S., Christen,R., Leslin,C., Holder,M., Taylor,G.T., Suarez,P., Varela,R. and Epstein,S.","ISME J 5 (8), 1344-1356 (2011)"
GU820749.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Symbiontida,Postgaardida,Postgaardida,Postgaardida,Postgaardida,AB5F15RJ5H11 ,environmental,anoxic water (ENVO:01000173),marine anoxic zone (ENVO:01000066),free-living,NA,NA,Caribbean Sea: Cariaco Basin,"Protistan microbial observatory in the Cariaco Basin, Caribbean. I. Pyrosequencing vs Sanger insights into species richness","Edgcomb,V., Orsi,W., Bunge,J., Jeon,S., Christen,R., Leslin,C., Holder,M., Taylor,G.T., Suarez,P., Varela,R. and Epstein,S.","ISME J 5 (8), 1344-1356 (2011)",uncultured euglenozoan,AB5F15RJ5H11,"anoxic water column sample, Cariaco Basin, Caribbean Sea",NA,NA,"Protistan microbial observatory in the Cariaco Basin, Caribbean. I. Pyrosequencing vs Sanger insights into species richness","Edgcomb,V., Orsi,W., Bunge,J., Jeon,S., Christen,R., Leslin,C., Holder,M., Taylor,G.T., Suarez,P., Varela,R. and Epstein,S.","ISME J 5 (8), 1344-1356 (2011)"
GU820751.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Symbiontida,SYMBT2,SYMBT2,SYMBT2,SYMBT2,AI5F15RJ3A09 ,environmental,micro-oxic water (ENVO missing),marine anoxic zone (ENVO:01000066),free-living,NA,NA,Caribbean Sea: Cariaco Basin,"Protistan microbial observatory in the Cariaco Basin, Caribbean. I. Pyrosequencing vs Sanger insights into species richness","Edgcomb,V., Orsi,W., Bunge,J., Jeon,S., Christen,R., Leslin,C., Holder,M., Taylor,G.T., Suarez,P., Varela,R. and Epstein,S.","ISME J 5 (8), 1344-1356 (2011)",uncultured euglenozoan,AI5F15RJ3A09,"micro-oxic water column sample, Cariaco Basin, Caribbean Sea",NA,NA,"Protistan microbial observatory in the Cariaco Basin, Caribbean. I. Pyrosequencing vs Sanger insights into species richness","Edgcomb,V., Orsi,W., Bunge,J., Jeon,S., Christen,R., Leslin,C., Holder,M., Taylor,G.T., Suarez,P., Varela,R. and Epstein,S.","ISME J 5 (8), 1344-1356 (2011)"
GU820752.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Symbiontida,SYMBT1,SYMBT1,SYMBT1,SYMBT1,BC95F15RM2C03 ,environmental,anoxic water (ENVO:01000173),marine anoxic zone (ENVO:01000066),free-living,NA,NA,Caribbean Sea: Cariaco Basin,"Protistan microbial observatory in the Cariaco Basin, Caribbean. I. Pyrosequencing vs Sanger insights into species richness","Edgcomb,V., Orsi,W., Bunge,J., Jeon,S., Christen,R., Leslin,C., Holder,M., Taylor,G.T., Suarez,P., Varela,R. and Epstein,S.","ISME J 5 (8), 1344-1356 (2011)",uncultured euglenozoan,BC95F15RM2C03,"anoxic water column sample, Cariaco Basin, Caribbean Sea",NA,NA,"Protistan microbial observatory in the Cariaco Basin, Caribbean. I. Pyrosequencing vs Sanger insights into species richness","Edgcomb,V., Orsi,W., Bunge,J., Jeon,S., Christen,R., Leslin,C., Holder,M., Taylor,G.T., Suarez,P., Varela,R. and Epstein,S.","ISME J 5 (8), 1344-1356 (2011)"
GU820753.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Symbiontida,SYMBT2,SYMBT2,SYMBT2,SYMBT2,BCB5F15RM4H04 ,environmental,anoxic water (ENVO:01000173),marine anoxic zone (ENVO:01000066),free-living,NA,NA,Caribbean Sea: Cariaco Basin,"Protistan microbial observatory in the Cariaco Basin, Caribbean. I. Pyrosequencing vs Sanger insights into species richness","Edgcomb,V., Orsi,W., Bunge,J., Jeon,S., Christen,R., Leslin,C., Holder,M., Taylor,G.T., Suarez,P., Varela,R. and Epstein,S.","ISME J 5 (8), 1344-1356 (2011)",uncultured euglenozoan,BCB5F15RM4H04,"anoxic water column sample, Cariaco Basin, Caribbean Sea",NA,NA,"Protistan microbial observatory in the Cariaco Basin, Caribbean. I. Pyrosequencing vs Sanger insights into species richness","Edgcomb,V., Orsi,W., Bunge,J., Jeon,S., Christen,R., Leslin,C., Holder,M., Taylor,G.T., Suarez,P., Varela,R. and Epstein,S.","ISME J 5 (8), 1344-1356 (2011)"
GU820755.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Symbiontida,Postgaardida,Postgaardida,Postgaardida,Postgaardida,BC95F13RJ5C04 ,environmental,anoxic water (ENVO:01000173),marine anoxic zone (ENVO:01000066),free-living,NA,NA,Caribbean Sea: Cariaco Basin,"Protistan microbial observatory in the Cariaco Basin, Caribbean. I. Pyrosequencing vs Sanger insights into species richness","Edgcomb,V., Orsi,W., Bunge,J., Jeon,S., Christen,R., Leslin,C., Holder,M., Taylor,G.T., Suarez,P., Varela,R. and Epstein,S.","ISME J 5 (8), 1344-1356 (2011)",uncultured euglenozoan,BC95F13RJ5C04,"anoxic water column sample, Cariaco Basin, Caribbean Sea",NA,NA,"Protistan microbial observatory in the Cariaco Basin, Caribbean. I. Pyrosequencing vs Sanger insights into species richness","Edgcomb,V., Orsi,W., Bunge,J., Jeon,S., Christen,R., Leslin,C., Holder,M., Taylor,G.T., Suarez,P., Varela,R. and Epstein,S.","ISME J 5 (8), 1344-1356 (2011)"
GU820756.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Symbiontida,Postgaardida,Postgaardida,Postgaardida,Postgaardida,BCI5F13RJ5H12 ,environmental,micro-oxic water (ENVO missing),marine anoxic zone (ENVO:01000066),free-living,NA,NA,Caribbean Sea: Cariaco Basin,"Protistan microbial observatory in the Cariaco Basin, Caribbean. I. Pyrosequencing vs Sanger insights into species richness","Edgcomb,V., Orsi,W., Bunge,J., Jeon,S., Christen,R., Leslin,C., Holder,M., Taylor,G.T., Suarez,P., Varela,R. and Epstein,S.","ISME J 5 (8), 1344-1356 (2011)",uncultured euglenozoan,BCI5F13RJ5H12,"micro-oxic water column sample, Cariaco Basin, Caribbean Sea",NA,NA,"Protistan microbial observatory in the Cariaco Basin, Caribbean. I. Pyrosequencing vs Sanger insights into species richness","Edgcomb,V., Orsi,W., Bunge,J., Jeon,S., Christen,R., Leslin,C., Holder,M., Taylor,G.T., Suarez,P., Varela,R. and Epstein,S.","ISME J 5 (8), 1344-1356 (2011)"
GU820757.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Symbiontida,SYMBT1,SYMBT1,SYMBT1,SYMBT1,BC95F15RM3F11 ,environmental,anoxic water (ENVO:01000173),marine anoxic zone (ENVO:01000066),free-living,NA,NA,Caribbean Sea: Cariaco Basin,"Protistan microbial observatory in the Cariaco Basin, Caribbean. I. Pyrosequencing vs Sanger insights into species richness","Edgcomb,V., Orsi,W., Bunge,J., Jeon,S., Christen,R., Leslin,C., Holder,M., Taylor,G.T., Suarez,P., Varela,R. and Epstein,S.","ISME J 5 (8), 1344-1356 (2011)",uncultured euglenozoan,BC95F15RM3F11,"anoxic water column sample, Cariaco Basin, Caribbean Sea",NA,NA,"Protistan microbial observatory in the Cariaco Basin, Caribbean. I. Pyrosequencing vs Sanger insights into species richness","Edgcomb,V., Orsi,W., Bunge,J., Jeon,S., Christen,R., Leslin,C., Holder,M., Taylor,G.T., Suarez,P., Varela,R. and Epstein,S.","ISME J 5 (8), 1344-1356 (2011)"
GU820758.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Symbiontida,SYMBT1,SYMBT1,SYMBT1,SYMBT1,BC95F15RM3C11 ,environmental,anoxic water (ENVO:01000173),marine anoxic zone (ENVO:01000066),free-living,NA,NA,Caribbean Sea: Cariaco Basin,"Protistan microbial observatory in the Cariaco Basin, Caribbean. I. Pyrosequencing vs Sanger insights into species richness","Edgcomb,V., Orsi,W., Bunge,J., Jeon,S., Christen,R., Leslin,C., Holder,M., Taylor,G.T., Suarez,P., Varela,R. and Epstein,S.","ISME J 5 (8), 1344-1356 (2011)",uncultured euglenozoan,BC95F15RM3C11,"anoxic water column sample, Cariaco Basin, Caribbean Sea",NA,NA,"Protistan microbial observatory in the Cariaco Basin, Caribbean. I. Pyrosequencing vs Sanger insights into species richness","Edgcomb,V., Orsi,W., Bunge,J., Jeon,S., Christen,R., Leslin,C., Holder,M., Taylor,G.T., Suarez,P., Varela,R. and Epstein,S.","ISME J 5 (8), 1344-1356 (2011)"
GU820760.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Symbiontida,SYMBT1,SYMBT1,SYMBT1,SYMBT1,BC95F15RM2F01 ,environmental,anoxic water (ENVO:01000173),marine anoxic zone (ENVO:01000066),free-living,NA,NA,Caribbean Sea: Cariaco Basin,"Protistan microbial observatory in the Cariaco Basin, Caribbean. I. Pyrosequencing vs Sanger insights into species richness","Edgcomb,V., Orsi,W., Bunge,J., Jeon,S., Christen,R., Leslin,C., Holder,M., Taylor,G.T., Suarez,P., Varela,R. and Epstein,S.","ISME J 5 (8), 1344-1356 (2011)",uncultured euglenozoan,BC95F15RM2F01,"anoxic water column sample, Cariaco Basin, Caribbean Sea",NA,NA,"Protistan microbial observatory in the Cariaco Basin, Caribbean. I. Pyrosequencing vs Sanger insights into species richness","Edgcomb,V., Orsi,W., Bunge,J., Jeon,S., Christen,R., Leslin,C., Holder,M., Taylor,G.T., Suarez,P., Varela,R. and Epstein,S.","ISME J 5 (8), 1344-1356 (2011)"
GU820761.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Symbiontida,Postgaardida,Postgaardida,Postgaardida,Postgaardida,BCB5F15RM3C02 ,environmental,anoxic water (ENVO:01000173),marine anoxic zone (ENVO:01000066),free-living,NA,NA,Caribbean Sea: Cariaco Basin,"Protistan microbial observatory in the Cariaco Basin, Caribbean. I. Pyrosequencing vs Sanger insights into species richness","Edgcomb,V., Orsi,W., Bunge,J., Jeon,S., Christen,R., Leslin,C., Holder,M., Taylor,G.T., Suarez,P., Varela,R. and Epstein,S.","ISME J 5 (8), 1344-1356 (2011)",uncultured euglenozoan,BCB5F15RM3C02,"anoxic water column sample, Cariaco Basin, Caribbean Sea",NA,NA,"Protistan microbial observatory in the Cariaco Basin, Caribbean. I. Pyrosequencing vs Sanger insights into species richness","Edgcomb,V., Orsi,W., Bunge,J., Jeon,S., Christen,R., Leslin,C., Holder,M., Taylor,G.T., Suarez,P., Varela,R. and Epstein,S.","ISME J 5 (8), 1344-1356 (2011)"
GU820762.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Symbiontida,SYMBT1,SYMBT1,SYMBT1,SYMBT1,AB5F15RM1G06 ,environmental,anoxic water (ENVO:01000173),marine anoxic zone (ENVO:01000066),free-living,NA,NA,Caribbean Sea: Cariaco Basin,"Protistan microbial observatory in the Cariaco Basin, Caribbean. I. Pyrosequencing vs Sanger insights into species richness","Edgcomb,V., Orsi,W., Bunge,J., Jeon,S., Christen,R., Leslin,C., Holder,M., Taylor,G.T., Suarez,P., Varela,R. and Epstein,S.","ISME J 5 (8), 1344-1356 (2011)",uncultured euglenozoan,AB5F15RM1G06,"anoxic water column sample, Cariaco Basin, Caribbean Sea",NA,NA,"Protistan microbial observatory in the Cariaco Basin, Caribbean. I. Pyrosequencing vs Sanger insights into species richness","Edgcomb,V., Orsi,W., Bunge,J., Jeon,S., Christen,R., Leslin,C., Holder,M., Taylor,G.T., Suarez,P., Varela,R. and Epstein,S.","ISME J 5 (8), 1344-1356 (2011)"
GU820763.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Symbiontida,SYMBT2,SYMBT2,SYMBT2,SYMBT2,BCB5F13RM2A05 ,environmental,anoxic water (ENVO:01000173),marine anoxic zone (ENVO:01000066),free-living,NA,NA,Caribbean Sea: Cariaco Basin,"Protistan microbial observatory in the Cariaco Basin, Caribbean. I. Pyrosequencing vs Sanger insights into species richness","Edgcomb,V., Orsi,W., Bunge,J., Jeon,S., Christen,R., Leslin,C., Holder,M., Taylor,G.T., Suarez,P., Varela,R. and Epstein,S.","ISME J 5 (8), 1344-1356 (2011)",uncultured euglenozoan,BCB5F13RM2A05,"anoxic water column sample, Cariaco Basin, Caribbean Sea",NA,NA,"Protistan microbial observatory in the Cariaco Basin, Caribbean. I. Pyrosequencing vs Sanger insights into species richness","Edgcomb,V., Orsi,W., Bunge,J., Jeon,S., Christen,R., Leslin,C., Holder,M., Taylor,G.T., Suarez,P., Varela,R. and Epstein,S.","ISME J 5 (8), 1344-1356 (2011)"
GU820764.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Symbiontida,SYMBT1,SYMBT1,SYMBT1,SYMBT1,BC95F15RM3C04 ,environmental,anoxic water (ENVO:01000173),marine anoxic zone (ENVO:01000066),free-living,NA,NA,Caribbean Sea: Cariaco Basin,"Protistan microbial observatory in the Cariaco Basin, Caribbean. I. Pyrosequencing vs Sanger insights into species richness","Edgcomb,V., Orsi,W., Bunge,J., Jeon,S., Christen,R., Leslin,C., Holder,M., Taylor,G.T., Suarez,P., Varela,R. and Epstein,S.","ISME J 5 (8), 1344-1356 (2011)",uncultured euglenozoan,BC95F15RM3C04,"anoxic water column sample, Cariaco Basin, Caribbean Sea",NA,NA,"Protistan microbial observatory in the Cariaco Basin, Caribbean. I. Pyrosequencing vs Sanger insights into species richness","Edgcomb,V., Orsi,W., Bunge,J., Jeon,S., Christen,R., Leslin,C., Holder,M., Taylor,G.T., Suarez,P., Varela,R. and Epstein,S.","ISME J 5 (8), 1344-1356 (2011)"
GU820765.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Symbiontida,Postgaardida,Postgaardida,Postgaardida,Postgaardida,BC95F15RM3D11 ,environmental,anoxic water (ENVO:01000173),marine anoxic zone (ENVO:01000066),free-living,NA,NA,Caribbean Sea: Cariaco Basin,"Protistan microbial observatory in the Cariaco Basin, Caribbean. I. Pyrosequencing vs Sanger insights into species richness","Edgcomb,V., Orsi,W., Bunge,J., Jeon,S., Christen,R., Leslin,C., Holder,M., Taylor,G.T., Suarez,P., Varela,R. and Epstein,S.","ISME J 5 (8), 1344-1356 (2011)",uncultured euglenozoan,BC95F15RM3D11,"anoxic water column sample, Cariaco Basin, Caribbean Sea",NA,NA,"Protistan microbial observatory in the Cariaco Basin, Caribbean. I. Pyrosequencing vs Sanger insights into species richness","Edgcomb,V., Orsi,W., Bunge,J., Jeon,S., Christen,R., Leslin,C., Holder,M., Taylor,G.T., Suarez,P., Varela,R. and Epstein,S.","ISME J 5 (8), 1344-1356 (2011)"
GU820766.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Symbiontida,SYMBT2,SYMBT2,SYMBT2,SYMBT2,BC95F15RM2C02 ,environmental,anoxic water (ENVO:01000173),marine anoxic zone (ENVO:01000066),free-living,NA,NA,Caribbean Sea: Cariaco Basin,"Protistan microbial observatory in the Cariaco Basin, Caribbean. I. Pyrosequencing vs Sanger insights into species richness","Edgcomb,V., Orsi,W., Bunge,J., Jeon,S., Christen,R., Leslin,C., Holder,M., Taylor,G.T., Suarez,P., Varela,R. and Epstein,S.","ISME J 5 (8), 1344-1356 (2011)",uncultured euglenozoan,BC95F15RM2C02,"anoxic water column sample, Cariaco Basin, Caribbean Sea",NA,NA,"Protistan microbial observatory in the Cariaco Basin, Caribbean. I. Pyrosequencing vs Sanger insights into species richness","Edgcomb,V., Orsi,W., Bunge,J., Jeon,S., Christen,R., Leslin,C., Holder,M., Taylor,G.T., Suarez,P., Varela,R. and Epstein,S.","ISME J 5 (8), 1344-1356 (2011)"
GU820767.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Symbiontida,Postgaardida,Postgaardida,Postgaardida,Postgaardida,BC95F15RM2B01 ,environmental,anoxic water (ENVO:01000173),marine anoxic zone (ENVO:01000066),free-living,NA,NA,Caribbean Sea: Cariaco Basin,"Protistan microbial observatory in the Cariaco Basin, Caribbean. I. Pyrosequencing vs Sanger insights into species richness","Edgcomb,V., Orsi,W., Bunge,J., Jeon,S., Christen,R., Leslin,C., Holder,M., Taylor,G.T., Suarez,P., Varela,R. and Epstein,S.","ISME J 5 (8), 1344-1356 (2011)",uncultured euglenozoan,BC95F15RM2B01,"anoxic water column sample, Cariaco Basin, Caribbean Sea",NA,NA,"Protistan microbial observatory in the Cariaco Basin, Caribbean. I. Pyrosequencing vs Sanger insights into species richness","Edgcomb,V., Orsi,W., Bunge,J., Jeon,S., Christen,R., Leslin,C., Holder,M., Taylor,G.T., Suarez,P., Varela,R. and Epstein,S.","ISME J 5 (8), 1344-1356 (2011)"
GU820769.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Symbiontida,SYMBT1,SYMBT1,SYMBT1,SYMBT1,A95F13RM2H07 ,environmental,anoxic water (ENVO:01000173),marine anoxic zone (ENVO:01000066),free-living,NA,NA,Caribbean Sea: Cariaco Basin,"Protistan microbial observatory in the Cariaco Basin, Caribbean. I. Pyrosequencing vs Sanger insights into species richness","Edgcomb,V., Orsi,W., Bunge,J., Jeon,S., Christen,R., Leslin,C., Holder,M., Taylor,G.T., Suarez,P., Varela,R. and Epstein,S.","ISME J 5 (8), 1344-1356 (2011)",uncultured euglenozoan,A95F13RM2H07,"anoxic water column sample, Cariaco Basin, Caribbean Sea",NA,NA,"Protistan microbial observatory in the Cariaco Basin, Caribbean. I. Pyrosequencing vs Sanger insights into species richness","Edgcomb,V., Orsi,W., Bunge,J., Jeon,S., Christen,R., Leslin,C., Holder,M., Taylor,G.T., Suarez,P., Varela,R. and Epstein,S.","ISME J 5 (8), 1344-1356 (2011)"
GU820770.1,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Symbiontida,Postgaardida,Postgaardida,Postgaardida,Postgaardida,BC95F15RM2F05 ,environmental,anoxic water (ENVO:01000173),marine anoxic zone (ENVO:01000066),free-living,NA,NA,Caribbean Sea: Cariaco Basin,"Protistan microbial observatory in the Cariaco Basin, Caribbean. I. Pyrosequencing vs Sanger insights into species richness","Edgcomb,V., Orsi,W., Bunge,J., Jeon,S., Christen,R., Leslin,C., Holder,M., Taylor,G.T., Suarez,P., Varela,R. and Epstein,S.","ISME J 5 (8), 1344-1356 (2011)",uncultured euglenozoan,BC95F15RM2F05,"anoxic water column sample, Cariaco Basin, Caribbean Sea",NA,NA,"Protistan microbial observatory in the Cariaco Basin, Caribbean. I. Pyrosequencing vs Sanger insights into species richness","Edgcomb,V., Orsi,W., Bunge,J., Jeon,S., Christen,R., Leslin,C., Holder,M., Taylor,G.T., Suarez,P., Varela,R. and Epstein,S.","ISME J 5 (8), 1344-1356 (2011)"
