accession,taxon_1,taxon_2,taxon_3,taxon_4,taxon_5,taxon_6,taxon_7,taxon_8,name,source,env_material,env_biome,biotic_relationship,specific_host,geo_loc_name,publication,authors,journal,organism_gb,clone_gb,environment_gb,host_gb,country_gb,publication_gb,authors_gb,journal_gb
LC126932.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade I,Neovahlkampfiidae,Neovahlkampfia,Neovahlkampfia nana,isolate,respiration organ (UBERON:0000171),animal-associated environment (ENVO:01001002),NA,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)",Neovahlkampfia nana,NA,gills of rainbow trout,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)"
LC126933.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade I,Neovahlkampfiidae,Neovahlkampfia,Neovahlkampfia nana,isolate,respiration organ (UBERON:0000171),animal-associated environment (ENVO:01001002),NA,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)",Neovahlkampfia nana,NA,gills of rainbow trout,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)"
LC126934.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade I,Neovahlkampfiidae,Neovahlkampfia,Neovahlkampfia nana,isolate,respiration organ (UBERON:0000171),animal-associated environment (ENVO:01001002),NA,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)",Neovahlkampfia nana,NA,gills of rainbow trout,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)"
LC126935.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade I,Neovahlkampfiidae,Neovahlkampfia,Neovahlkampfia nana,isolate,respiration organ (UBERON:0000171),animal-associated environment (ENVO:01001002),NA,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)",Neovahlkampfia nana,NA,gills of rainbow trout,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)"
LC126936.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade I,Neovahlkampfiidae,Neovahlkampfia,Neovahlkampfia nana,isolate,respiration organ (UBERON:0000171),animal-associated environment (ENVO:01001002),NA,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)",Neovahlkampfia nana,NA,gills of rainbow trout,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)"
LC126937.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade I,Neovahlkampfiidae,Neovahlkampfia,Neovahlkampfia nana,isolate,respiration organ (UBERON:0000171),animal-associated environment (ENVO:01001002),NA,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)",Neovahlkampfia nana,NA,gills of rainbow trout,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)"
LC126938.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade I,Neovahlkampfiidae,Neovahlkampfia,Neovahlkampfia nana,isolate,respiration organ (UBERON:0000171),animal-associated environment (ENVO:01001002),NA,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)",Neovahlkampfia nana,NA,gills of rainbow trout,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)"
LC126939.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade I,Neovahlkampfiidae,Neovahlkampfia,Neovahlkampfia nana,isolate,respiration organ (UBERON:0000171),animal-associated environment (ENVO:01001002),NA,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)",Neovahlkampfia nana,NA,gills of rainbow trout,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)"
LC126940.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade I,Neovahlkampfiidae,Neovahlkampfia,Neovahlkampfia nana,isolate,respiration organ (UBERON:0000171),animal-associated environment (ENVO:01001002),NA,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)",Neovahlkampfia nana,NA,gills of rainbow trout,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)"
LC126941.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade I,Neovahlkampfiidae,Neovahlkampfia,Neovahlkampfia nana,isolate,respiration organ (UBERON:0000171),animal-associated environment (ENVO:01001002),NA,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)",Neovahlkampfia nana,NA,gills of rainbow trout,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)"
LC126942.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade I,Neovahlkampfiidae,Neovahlkampfia,Neovahlkampfia nana,isolate,respiration organ (UBERON:0000171),animal-associated environment (ENVO:01001002),NA,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)",Neovahlkampfia nana,NA,gills of rainbow trout,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)"
LC126943.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade I,Neovahlkampfiidae,Neovahlkampfia,Neovahlkampfia nana,isolate,respiration organ (UBERON:0000171),animal-associated environment (ENVO:01001002),NA,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)",Neovahlkampfia nana,NA,gills of rainbow trout,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)"
LC126944.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade I,Neovahlkampfiidae,Neovahlkampfia,Neovahlkampfia nana,isolate,respiration organ (UBERON:0000171),animal-associated environment (ENVO:01001002),NA,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)",Neovahlkampfia nana,NA,gills of rainbow trout,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)"
LC126945.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade I,Neovahlkampfiidae,Neovahlkampfia,Neovahlkampfia nana,isolate,respiration organ (UBERON:0000171),animal-associated environment (ENVO:01001002),NA,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)",Neovahlkampfia nana,NA,gills of rainbow trout,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)"
LC126946.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade I,Neovahlkampfiidae,Neovahlkampfia,Neovahlkampfia nana,isolate,respiration organ (UBERON:0000171),animal-associated environment (ENVO:01001002),NA,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)",Neovahlkampfia nana,NA,gills of rainbow trout,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)"
LC126947.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade I,Neovahlkampfiidae,Neovahlkampfia,Neovahlkampfia nana,isolate,respiration organ (UBERON:0000171),animal-associated environment (ENVO:01001002),NA,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)",Neovahlkampfia nana,NA,gills of rainbow trout,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)"
LC126948.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade I,Neovahlkampfiidae,Neovahlkampfia,Neovahlkampfia nana,isolate,respiration organ (UBERON:0000171),animal-associated environment (ENVO:01001002),NA,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)",Neovahlkampfia nana,NA,gills of rainbow trout,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)"
LC126949.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade I,Neovahlkampfiidae,Neovahlkampfia,Neovahlkampfia nana,isolate,respiration organ (UBERON:0000171),animal-associated environment (ENVO:01001002),NA,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)",Neovahlkampfia nana,NA,gills of rainbow trout,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)"
LC126950.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade I,Neovahlkampfiidae,Neovahlkampfia,Neovahlkampfia nana,isolate,respiration organ (UBERON:0000171),animal-associated environment (ENVO:01001002),NA,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)",Neovahlkampfia nana,NA,gills of rainbow trout,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)"
LC126951.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade I,Neovahlkampfiidae,Neovahlkampfia,Neovahlkampfia nana,isolate,respiration organ (UBERON:0000171),animal-associated environment (ENVO:01001002),NA,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)",Neovahlkampfia nana,NA,gills of rainbow trout,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)"
LC126952.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade I,Neovahlkampfiidae,Neovahlkampfia,Neovahlkampfia nana,isolate,respiration organ (UBERON:0000171),animal-associated environment (ENVO:01001002),NA,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)",Neovahlkampfia nana,NA,gills of rainbow trout,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)"
LC126953.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade I,Neovahlkampfiidae,Neovahlkampfia,Neovahlkampfia nana,isolate,respiration organ (UBERON:0000171),animal-associated environment (ENVO:01001002),NA,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)",Neovahlkampfia nana,NA,gills of rainbow trout,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)"
LC126954.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade I,Neovahlkampfiidae,Neovahlkampfia,Neovahlkampfia nana,isolate,respiration organ (UBERON:0000171),animal-associated environment (ENVO:01001002),NA,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)",Neovahlkampfia nana,NA,gills of rainbow trout,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)"
LC126955.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade I,Neovahlkampfiidae,Neovahlkampfia,Neovahlkampfia nana,isolate,respiration organ (UBERON:0000171),animal-associated environment (ENVO:01001002),NA,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)",Neovahlkampfia nana,NA,gills of rainbow trout,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)"
LC126956.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade I,Neovahlkampfiidae,Neovahlkampfia,Neovahlkampfia nana,isolate,respiration organ (UBERON:0000171),animal-associated environment (ENVO:01001002),NA,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)",Neovahlkampfia nana,NA,gills of rainbow trout,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)"
LC126957.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade I,Neovahlkampfiidae,Neovahlkampfia,Neovahlkampfia nana,isolate,respiration organ (UBERON:0000171),animal-associated environment (ENVO:01001002),NA,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)",Neovahlkampfia nana,NA,gills of rainbow trout,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)"
LC126958.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade I,Neovahlkampfiidae,Neovahlkampfia,Neovahlkampfia nana,isolate,respiration organ (UBERON:0000171),animal-associated environment (ENVO:01001002),NA,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)",Neovahlkampfia nana,NA,gills of rainbow trout,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)"
LC126959.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade I,Neovahlkampfiidae,Neovahlkampfia,Neovahlkampfia nana,isolate,respiration organ (UBERON:0000171),animal-associated environment (ENVO:01001002),NA,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)",Neovahlkampfia nana,NA,gills of rainbow trout,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)"
LC126960.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade I,Neovahlkampfiidae,Neovahlkampfia,Neovahlkampfia nana,isolate,respiration organ (UBERON:0000171),animal-associated environment (ENVO:01001002),NA,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)",Neovahlkampfia nana,NA,gills of rainbow trout,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)"
LC126961.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade I,Neovahlkampfiidae,Neovahlkampfia,Neovahlkampfia nana,isolate,respiration organ (UBERON:0000171),animal-associated environment (ENVO:01001002),NA,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)",Neovahlkampfia nana,NA,gills of rainbow trout,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)"
LC126962.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade I,Neovahlkampfiidae,Neovahlkampfia,Neovahlkampfia nana,isolate,respiration organ (UBERON:0000171),animal-associated environment (ENVO:01001002),NA,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)",Neovahlkampfia nana,NA,gills of rainbow trout,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)"
LC126963.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade I,Neovahlkampfiidae,Neovahlkampfia,Neovahlkampfia nana,isolate,respiration organ (UBERON:0000171),animal-associated environment (ENVO:01001002),NA,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)",Neovahlkampfia nana,NA,gills of rainbow trout,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)"
LC126964.1,Eukaryota,Excavata,Discoba,Heterolobosea,Tetramitia,Tetramitia clade I,Neovahlkampfiidae,Neovahlkampfia,Neovahlkampfia nana,isolate,respiration organ (UBERON:0000171),animal-associated environment (ENVO:01001002),NA,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)",Neovahlkampfia nana,NA,gills of rainbow trout,Oncorhynchus mykiss,Italy,"Neovahlkampfia nana n. sp. Reinforcing an Underrepresented Subclade of Tetramitia, Heterolobosea","Tyml,T., Lares-Jimenez,L.F., Kostka,M. and Dykova,I.","J. Eukaryot. Microbiol. 64 (1), 78-87 (2017)"
