accession,taxon_1,taxon_2,taxon_3,taxon_4,taxon_5,taxon_6,taxon_7,taxon_8,taxon_9,name,source,env_material,env_biome,biotic_relationship,specific_host,host_name,geo_loc_name,publication,authors,journal,organism_gb,clone_gb,environment_gb,host_gb,country_gb,publication_gb,authors_gb,journal_gb
HM581663,Eukaryota,Excavata,Metamonada,Parabasalia,Trichomonadea,Trichomonadida,Trichomonadidae,Pseudotrichomonas,Pseudotrichomonas keilini,Pseudotrichomonas keilini,isolate,sediment (ENVO:00002007),mangrove (ENVO:01000181),free-living,NA,NA,Japan: Ishigaki Island,"Cryptic diversity of free-living parabasalids, Pseudotrichomonas keilini and Lacusteria cypriaca n. g., n. sp., as inferred from small subunit rDNA sequences","Yubuki,N., Ceza,V., Cepicka,I., Yabuki,A., Inagaki,Y., Nakayama,T., Inouye,I. and Leander,B.S.","J. Eukaryot. Microbiol. 57 (6), 554-561 (2010)",Pseudotrichomonas keilini,NA,NA,NA,NA,"Cryptic diversity of free-living parabasalids, Pseudotrichomonas keilini and Lacusteria cypriaca n. g., n. sp., as inferred from small subunit rDNA sequences","Yubuki,N., Ceza,V., Cepicka,I., Yabuki,A., Inagaki,Y., Nakayama,T., Inouye,I. and Leander,B.S.","J. Eukaryot. Microbiol. 57 (6), 554-561 (2010)"
HM748760,Eukaryota,Excavata,Metamonada,Parabasalia,Trichomonadea,Trichomonadida,Trichomonadidae,Pseudotrichomonas,Pseudotrichomonas keilini,Pseudotrichomonas keilini,isolate,fresh water (ENVO:00002011),freshwater lake biome (ENVO:01000252),free-living,NA,NA,Cyprus: Voroklini,"Cryptic diversity of free-living parabasalids, Pseudotrichomonas keilini and Lacusteria cypriaca n. g., n. sp., as inferred from small subunit rDNA sequences","Yubuki,N., Ceza,V., Cepicka,I., Yabuki,A., Inagaki,Y., Nakayama,T., Inouye,I. and Leander,B.S.","J. Eukaryot. Microbiol. 57 (6), 554-561 (2010)",Pseudotrichomonas keilini,NA,NA,NA,NA,"Cryptic diversity of free-living parabasalids, Pseudotrichomonas keilini and Lacusteria cypriaca n. g., n. sp., as inferred from small subunit rDNA sequences","Yubuki,N., Ceza,V., Cepicka,I., Yabuki,A., Inagaki,Y., Nakayama,T., Inouye,I. and Leander,B.S.","J. Eukaryot. Microbiol. 57 (6), 554-561 (2010)"
AB032206,Eukaryota,Excavata,Metamonada,Parabasalia,Trichomonadea,Trichomonadida,Trichomonadidae,Reticulitermes speratus Trichomonadidae symbiont Rs16,Reticulitermes speratus Trichomonadidae symbiont Rs16,Reticulitermes speratus parabasalian symbiont Rs16,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,60591,Reticulitermes speratus,Japan: Saitama,"Phylogenetic identification of hypermastigotes, Pseudotrichonympha, Spirotrichonympha, Holomastigotoides, and parabasalian symbionts in the hindgut of termites","Ohkuma,M., Ohtoko,K., Iida,T., Tokura,M., Moriya,S., Usami,R., Horikoshi,K. and Kudo,T.","J. Eukaryot. Microbiol. 47 (3), 249-259 (2000)",Reticulitermes speratus parabasalian symbiont clone Rs16,Rs16,NA,Reticulitermes speratus,NA,"Phylogenetic identification of hypermastigotes, Pseudotrichonympha, Spirotrichonympha, Holomastigotoides, and parabasalian symbionts in the hindgut of termites","Ohkuma,M., Ohtoko,K., Iida,T., Tokura,M., Moriya,S., Usami,R., Horikoshi,K. and Kudo,T.","J. Eukaryot. Microbiol. 47 (3), 249-259 (2000)"
AY821962,Eukaryota,Excavata,Metamonada,Parabasalia,Trichomonadea,Trichomonadida,Trichomonadidae,uncultured Trichomonadidae CV1_2B_35,uncultured Trichomonadidae CV1_2B_35,uncultured eukaryote CV1_2B_35,environmental,fresh water (ENVO:00002011),freshwater biome (ENVO:00000873),free-living,NA,NA,France,The extent of protist diversity: insights from molecular ecology of freshwater eukaryotes,"Slapeta,J., Moreira,D. and Lopez-Garcia,P.","Proc. R. Soc. Lond., B, Biol. Sci. 272 (1576), 2073-2081 (2005)",uncultured trichomonad,CV1_2B_35,"total DNA isolated from fresh water filtrate (0.22-5 um), Nov. 2003, Orsay, France",NA,France,The extent of protist diversity: insights from molecular ecology of freshwater eukaryotes,"Slapeta,J., Moreira,D. and Lopez-Garcia,P.","Proc. R. Soc. Lond., B, Biol. Sci. 272 (1576), 2073-2081 (2005)"
AY247745,Eukaryota,Excavata,Metamonada,Parabasalia,Trichomonadea,Trichomonadida,Trichomonadidae,Cochlosoma,Cochlosoma anatis,Cochlosoma anatis,isolate,intestine environment (ENVO:2100002),animal-associated environment (ENVO:01001002),parasite,8839,Anas platyrhynchos,Czech Republic,Affiliation of Cochlosoma to trichomonads confirmed by phylogenetic analysis of the small-subunit rRNA gene and a new family concept of the order Trichomonadida,"Hampl,V., Vrlik,M., Cepicka,I., Pecka,Z., Kulda,J. and Tachezy,J.","Int. J. Syst. Evol. Microbiol. 56 (PT 1), 305-312 (2006)",Cochlosoma anatis,NA,NA,Anser domesticus,NA,Affiliation of Cochlosoma to trichomonads confirmed by phylogenetic analysis of the small-subunit rRNA gene and a new family concept of the order Trichomonadida,"Hampl,V., Vrlik,M., Cepicka,I., Pecka,Z., Kulda,J. and Tachezy,J.","Int. J. Syst. Evol. Microbiol. 56 (PT 1), 305-312 (2006)"
AB032234,Eukaryota,Excavata,Metamonada,Parabasalia,Trichomonadea,Trichomonadida,Trichomonadidae,Hodotermopsis sjoestedti Trichomonadidae symbiont HsL8,Hodotermopsis sjoestedti Trichomonadidae symbiont HsL8,Hodotermopsis sjoestedti parabasalian symbiont HsL8,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,377914,Hodotermopsis sjoestedti,Japan: Yakushima Island,"Phylogenetic identification of hypermastigotes, Pseudotrichonympha, Spirotrichonympha, Holomastigotoides, and parabasalian symbionts in the hindgut of termites","Ohkuma,M., Ohtoko,K., Iida,T., Tokura,M., Moriya,S., Usami,R., Horikoshi,K. and Kudo,T.","J. Eukaryot. Microbiol. 47 (3), 249-259 (2000)",Hodotermopsis sjoestedti parabasalian symbiont clone HsL8,HsL8,NA,Hodotermopsis sjoestedti,NA,"Phylogenetic identification of hypermastigotes, Pseudotrichonympha, Spirotrichonympha, Holomastigotoides, and parabasalian symbionts in the hindgut of termites","Ohkuma,M., Ohtoko,K., Iida,T., Tokura,M., Moriya,S., Usami,R., Horikoshi,K. and Kudo,T.","J. Eukaryot. Microbiol. 47 (3), 249-259 (2000)"
AF215856,Eukaryota,Excavata,Metamonada,Parabasalia,Trichomonadea,Trichomonadida,Trichomonadidae,Tetratrichomonas,Tetratrichomonas,Kalotermes flavicollis parabasalian symbiont clone Kf1,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,256709,Kalotermes flavicollis,France: Banyuls-sur-mer,Phylogenetic position of parabasalid symbionts from the termite Kalotermes flavicollis based on small subunit rRNA sequences,"Gerbod,D., Edgcomb,V.P., Noel,C., Delgado-Viscogliosi,P., Sogin,M.L. and Viscogliosi,E.",Unpublished,Kalotermes flavicollis gut symbiont clone Kf1,NA,NA,NA,NA,Phylogenetic position of parabasalid symbionts from the termite Kalotermes flavicollis based on small subunit rRNA sequences,"Gerbod,D., Edgcomb,V.P., Noel,C., Delgado-Viscogliosi,P., Sogin,M.L. and Viscogliosi,E.",Unpublished
AF124609,Eukaryota,Excavata,Metamonada,Parabasalia,Trichomonadea,Trichomonadida,Trichomonadidae,Pentatrichomonas,Pentatrichomonas hominis,Pentatrichomonas hominis,isolate,NA,human-associated environment (ENVO missing),commensal,9606,Homo sapiens,NA,"Molecular phylogeny of parabasalids based on small subunit rRNA sequences, with emphasis on the Trichomonadinae subfamily","Delgado-Viscogliosi,P., Viscogliosi,E., Gerbod,D., Kulda,J., Sogin,M.L. and Edgcomb,V.P.","J. Eukaryot. Microbiol. 47 (1), 70-75 (2000)",Pentatrichomonas hominis,NA,NA,NA,NA,"Molecular phylogeny of parabasalids based on small subunit rRNA sequences, with emphasis on the Trichomonadinae subfamily","Delgado-Viscogliosi,P., Viscogliosi,E., Gerbod,D., Kulda,J., Sogin,M.L. and Edgcomb,V.P.","J. Eukaryot. Microbiol. 47 (1), 70-75 (2000)"
AY758392,Eukaryota,Excavata,Metamonada,Parabasalia,Trichomonadea,Trichomonadida,Trichomonadidae,Pentatrichomonas,Pentatrichomonas hominis,Pentatrichomonas hominis,isolate,feces (ENVO:00002003),mammalia-associated environment (ENVO missing),NA,9615,Canis lupus familiaris,NA,Molecular characterization of trichomonads from feces of dogs with diarrhea,"Gookin,J.L., Birkenheuer,A.J., St John,V., Spector,M. and Levy,M.G.","J. Parasitol. 91 (4), 939-943 (2005)",Pentatrichomonas hominis,NA,NA,NA,NA,Molecular characterization of trichomonads from feces of dogs with diarrhea,"Gookin,J.L., Birkenheuer,A.J., St John,V., Spector,M. and Levy,M.G.","J. Parasitol. 91 (4), 939-943 (2005)"
DQ412640,Eukaryota,Excavata,Metamonada,Parabasalia,Trichomonadea,Trichomonadida,Trichomonadidae,Pentatrichomonas,Pentatrichomonas hominis,Pentatrichomonas hominis,isolate,penis (UBERON:0000989),mammalia-associated environment (ENVO missing),NA,9915,Bos indicus,NA,Morphological and molecular identification of non-Tritrichomonas foetus trichomonad protozoa from the bovine preputial cavity,"Dufernez,F., Walker,R.L., Noel,C., Caby,S., Mantini,C., Delgado-Viscogliosi,P., Ohkuma,M., Kudo,T., Capron,M., Pierce,R.J., Villanueva,M.R. and Viscogliosi,E.","J. Eukaryot. Microbiol. 54 (2), 161-168 (2007)",Pentatrichomonas hominis,NA,NA,Bos taurus,NA,Morphological and molecular identification of non-Tritrichomonas foetus trichomonad protozoa from the bovine preputial cavity,"Dufernez,F., Walker,R.L., Noel,C., Caby,S., Mantini,C., Delgado-Viscogliosi,P., Ohkuma,M., Kudo,T., Capron,M., Pierce,R.J., Villanueva,M.R. and Viscogliosi,E.","J. Eukaryot. Microbiol. 54 (2), 161-168 (2007)"
DQ412641,Eukaryota,Excavata,Metamonada,Parabasalia,Trichomonadea,Trichomonadida,Trichomonadidae,Pentatrichomonas,Pentatrichomonas hominis,Pentatrichomonas hominis,isolate,penis (UBERON:0000989),mammalia-associated environment (ENVO missing),NA,9915,Bos indicus,NA,Morphological and molecular identification of non-Tritrichomonas foetus trichomonad protozoa from the bovine preputial cavity,"Dufernez,F., Walker,R.L., Noel,C., Caby,S., Mantini,C., Delgado-Viscogliosi,P., Ohkuma,M., Kudo,T., Capron,M., Pierce,R.J., Villanueva,M.R. and Viscogliosi,E.","J. Eukaryot. Microbiol. 54 (2), 161-168 (2007)",Pentatrichomonas hominis,NA,NA,Bos taurus,NA,Morphological and molecular identification of non-Tritrichomonas foetus trichomonad protozoa from the bovine preputial cavity,"Dufernez,F., Walker,R.L., Noel,C., Caby,S., Mantini,C., Delgado-Viscogliosi,P., Ohkuma,M., Kudo,T., Capron,M., Pierce,R.J., Villanueva,M.R. and Viscogliosi,E.","J. Eukaryot. Microbiol. 54 (2), 161-168 (2007)"
DQ412642,Eukaryota,Excavata,Metamonada,Parabasalia,Trichomonadea,Trichomonadida,Trichomonadidae,Pentatrichomonas,Pentatrichomonas hominis,Pentatrichomonas hominis,isolate,penis (UBERON:0000989),mammalia-associated environment (ENVO missing),NA,9915,Bos indicus,NA,Morphological and molecular identification of non-Tritrichomonas foetus trichomonad protozoa from the bovine preputial cavity,"Dufernez,F., Walker,R.L., Noel,C., Caby,S., Mantini,C., Delgado-Viscogliosi,P., Ohkuma,M., Kudo,T., Capron,M., Pierce,R.J., Villanueva,M.R. and Viscogliosi,E.","J. Eukaryot. Microbiol. 54 (2), 161-168 (2007)",Pentatrichomonas hominis,NA,NA,Bos taurus,NA,Morphological and molecular identification of non-Tritrichomonas foetus trichomonad protozoa from the bovine preputial cavity,"Dufernez,F., Walker,R.L., Noel,C., Caby,S., Mantini,C., Delgado-Viscogliosi,P., Ohkuma,M., Kudo,T., Capron,M., Pierce,R.J., Villanueva,M.R. and Viscogliosi,E.","J. Eukaryot. Microbiol. 54 (2), 161-168 (2007)"
DQ412643,Eukaryota,Excavata,Metamonada,Parabasalia,Trichomonadea,Trichomonadida,Trichomonadidae,Pentatrichomonas,Pentatrichomonas hominis,Pentatrichomonas hominis,isolate,penis (UBERON:0000989),mammalia-associated environment (ENVO missing),NA,9915,Bos indicus,NA,Morphological and molecular identification of non-Tritrichomonas foetus trichomonad protozoa from the bovine preputial cavity,"Dufernez,F., Walker,R.L., Noel,C., Caby,S., Mantini,C., Delgado-Viscogliosi,P., Ohkuma,M., Kudo,T., Capron,M., Pierce,R.J., Villanueva,M.R. and Viscogliosi,E.","J. Eukaryot. Microbiol. 54 (2), 161-168 (2007)",Pentatrichomonas hominis,NA,NA,Bos taurus,NA,Morphological and molecular identification of non-Tritrichomonas foetus trichomonad protozoa from the bovine preputial cavity,"Dufernez,F., Walker,R.L., Noel,C., Caby,S., Mantini,C., Delgado-Viscogliosi,P., Ohkuma,M., Kudo,T., Capron,M., Pierce,R.J., Villanueva,M.R. and Viscogliosi,E.","J. Eukaryot. Microbiol. 54 (2), 161-168 (2007)"
HQ149968,Eukaryota,Excavata,Metamonada,Parabasalia,Trichomonadea,Trichomonadida,Trichomonadidae,Pentatrichomonas,Pentatrichomonas hominis,Pentatrichomonas hominis,isolate,intestine environment (ENVO:2100002),animal-associated environment (ENVO:01001002),NA,54131,Colobus angolensis,Czech Republic,Extensive diversity of intestinal trichomonads of non-human primates,"Smejkalova,P., Petrzelkova,K.J., Pomajbikova,K., Modry,D. and Cepicka,I.","Parasitology 139 (1), 92-102 (2012)",Pentatrichomonas hominis,NA,NA,Colobus angolensis,NA,Extensive diversity of intestinal trichomonads of non-human primates,"Smejkalova,P., Petrzelkova,K.J., Pomajbikova,K., Modry,D. and Cepicka,I.","Parasitology 139 (1), 92-102 (2012)"
HQ149969,Eukaryota,Excavata,Metamonada,Parabasalia,Trichomonadea,Trichomonadida,Trichomonadidae,Pentatrichomonas,Pentatrichomonas hominis,Pentatrichomonas hominis,isolate,intestine environment (ENVO:2100002),animal-associated environment (ENVO:01001002),NA,9483,Callithrix jacchus,Czech Republic,Extensive diversity of intestinal trichomonads of non-human primates,"Smejkalova,P., Petrzelkova,K.J., Pomajbikova,K., Modry,D. and Cepicka,I.","Parasitology 139 (1), 92-102 (2012)",Pentatrichomonas hominis,NA,NA,Callithrix jacchus,NA,Extensive diversity of intestinal trichomonads of non-human primates,"Smejkalova,P., Petrzelkova,K.J., Pomajbikova,K., Modry,D. and Cepicka,I.","Parasitology 139 (1), 92-102 (2012)"
HQ149970,Eukaryota,Excavata,Metamonada,Parabasalia,Trichomonadea,Trichomonadida,Trichomonadidae,Pentatrichomonas,Pentatrichomonas hominis,Pentatrichomonas hominis,isolate,intestine environment (ENVO:2100002),animal-associated environment (ENVO:01001002),NA,9455,Varecia variegata,Czech Republic,Extensive diversity of intestinal trichomonads of non-human primates,"Smejkalova,P., Petrzelkova,K.J., Pomajbikova,K., Modry,D. and Cepicka,I.","Parasitology 139 (1), 92-102 (2012)",Pentatrichomonas hominis,NA,NA,Varecia variegata,NA,Extensive diversity of intestinal trichomonads of non-human primates,"Smejkalova,P., Petrzelkova,K.J., Pomajbikova,K., Modry,D. and Cepicka,I.","Parasitology 139 (1), 92-102 (2012)"
JX565027,Eukaryota,Excavata,Metamonada,Parabasalia,Trichomonadea,Trichomonadida,Trichomonadidae,Pentatrichomonas,Pentatrichomonas hominis,Pentatrichomonas hominis,isolate,intestine environment (ENVO:2100002),animal-associated environment (ENVO:01001002),NA,56273,Otus megalotis,Philippines: Quezon City,Molecular characterization of trichomonads isolated from animal hosts in the Philippines,"Dimasuay,K.G. and Rivera,W.L.","Vet. Parasitol. 196 (3-4), 289-295 (2013)",Pentatrichomonas hominis,NA,NA,scops owl,Philippines,Molecular characterization of trichomonads isolated from animal hosts in the Philippines,"Dimasuay,K.G. and Rivera,W.L.","Vet. Parasitol. 196 (3-4), 289-295 (2013)"
JX565028,Eukaryota,Excavata,Metamonada,Parabasalia,Trichomonadea,Trichomonadida,Trichomonadidae,Pentatrichomonas,Pentatrichomonas hominis,Pentatrichomonas hominis,isolate,intestine environment (ENVO:2100002),mammalia-associated environment (ENVO missing),NA,9925,Capra aegagrus hircus,Philippines: Laguna,Molecular characterization of trichomonads isolated from animal hosts in the Philippines,"Dimasuay,K.G. and Rivera,W.L.","Vet. Parasitol. 196 (3-4), 289-295 (2013)",Pentatrichomonas hominis,NA,NA,goat,Philippines,Molecular characterization of trichomonads isolated from animal hosts in the Philippines,"Dimasuay,K.G. and Rivera,W.L.","Vet. Parasitol. 196 (3-4), 289-295 (2013)"
JX565029,Eukaryota,Excavata,Metamonada,Parabasalia,Trichomonadea,Trichomonadida,Trichomonadidae,Pentatrichomonas,Pentatrichomonas hominis,Pentatrichomonas hominis,isolate,intestine environment (ENVO:2100002),animal-associated environment (ENVO:01001002),NA,401042,Boa constrictor imperator,Philippines: Quezon City,Molecular characterization of trichomonads isolated from animal hosts in the Philippines,"Dimasuay,K.G. and Rivera,W.L.","Vet. Parasitol. 196 (3-4), 289-295 (2013)",Pentatrichomonas hominis,NA,NA,boa constrictor,Philippines,Molecular characterization of trichomonads isolated from animal hosts in the Philippines,"Dimasuay,K.G. and Rivera,W.L.","Vet. Parasitol. 196 (3-4), 289-295 (2013)"
JX565031,Eukaryota,Excavata,Metamonada,Parabasalia,Trichomonadea,Trichomonadida,Trichomonadidae,Pentatrichomonas,Pentatrichomonas hominis,Pentatrichomonas hominis,isolate,intestine environment (ENVO:2100002),mammalia-associated environment (ENVO missing),NA,9615,Canis lupus familiaris,Philippines: Batangas: Rosario,Molecular characterization of trichomonads isolated from animal hosts in the Philippines,"Dimasuay,K.G. and Rivera,W.L.","Vet. Parasitol. 196 (3-4), 289-295 (2013)",Pentatrichomonas hominis,NA,NA,dog,Philippines,Molecular characterization of trichomonads isolated from animal hosts in the Philippines,"Dimasuay,K.G. and Rivera,W.L.","Vet. Parasitol. 196 (3-4), 289-295 (2013)"
JX565032,Eukaryota,Excavata,Metamonada,Parabasalia,Trichomonadea,Trichomonadida,Trichomonadidae,Pentatrichomonas,Pentatrichomonas hominis,Pentatrichomonas hominis,isolate,intestine environment (ENVO:2100002),mammalia-associated environment (ENVO missing),NA,9615,Canis lupus familiaris,Philippines: Quezon City,Molecular characterization of trichomonads isolated from animal hosts in the Philippines,"Dimasuay,K.G. and Rivera,W.L.","Vet. Parasitol. 196 (3-4), 289-295 (2013)",Pentatrichomonas hominis,NA,NA,dog,Philippines,Molecular characterization of trichomonads isolated from animal hosts in the Philippines,"Dimasuay,K.G. and Rivera,W.L.","Vet. Parasitol. 196 (3-4), 289-295 (2013)"
JX565033,Eukaryota,Excavata,Metamonada,Parabasalia,Trichomonadea,Trichomonadida,Trichomonadidae,Pentatrichomonas,Pentatrichomonas hominis,Pentatrichomonas hominis,isolate,intestine environment (ENVO:2100002),mammalia-associated environment (ENVO missing),NA,9615,Canis lupus familiaris,Philippines: Quezon City,Molecular characterization of trichomonads isolated from animal hosts in the Philippines,"Dimasuay,K.G. and Rivera,W.L.","Vet. Parasitol. 196 (3-4), 289-295 (2013)",Pentatrichomonas hominis,NA,NA,dog,Philippines,Molecular characterization of trichomonads isolated from animal hosts in the Philippines,"Dimasuay,K.G. and Rivera,W.L.","Vet. Parasitol. 196 (3-4), 289-295 (2013)"
JX565034,Eukaryota,Excavata,Metamonada,Parabasalia,Trichomonadea,Trichomonadida,Trichomonadidae,Pentatrichomonas,Pentatrichomonas hominis,Pentatrichomonas hominis,isolate,intestine environment (ENVO:2100002),mammalia-associated environment (ENVO missing),NA,9615,Canis lupus familiaris,Philippines: Quezon City,Molecular characterization of trichomonads isolated from animal hosts in the Philippines,"Dimasuay,K.G. and Rivera,W.L.","Vet. Parasitol. 196 (3-4), 289-295 (2013)",Pentatrichomonas hominis,NA,NA,dog,Philippines,Molecular characterization of trichomonads isolated from animal hosts in the Philippines,"Dimasuay,K.G. and Rivera,W.L.","Vet. Parasitol. 196 (3-4), 289-295 (2013)"
JX565035,Eukaryota,Excavata,Metamonada,Parabasalia,Trichomonadea,Trichomonadida,Trichomonadidae,Pentatrichomonas,Pentatrichomonas hominis,Pentatrichomonas hominis,isolate,intestine environment (ENVO:2100002),mammalia-associated environment (ENVO missing),NA,9615,Canis lupus familiaris,Philippines: Quezon City,Molecular characterization of trichomonads isolated from animal hosts in the Philippines,"Dimasuay,K.G. and Rivera,W.L.","Vet. Parasitol. 196 (3-4), 289-295 (2013)",Pentatrichomonas hominis,NA,NA,dog,Philippines,Molecular characterization of trichomonads isolated from animal hosts in the Philippines,"Dimasuay,K.G. and Rivera,W.L.","Vet. Parasitol. 196 (3-4), 289-295 (2013)"
JX565036,Eukaryota,Excavata,Metamonada,Parabasalia,Trichomonadea,Trichomonadida,Trichomonadidae,Pentatrichomonas,Pentatrichomonas hominis,Pentatrichomonas hominis,isolate,intestine environment (ENVO:2100002),mammalia-associated environment (ENVO missing),NA,9615,Canis lupus familiaris,Philippines: Quezon City,Molecular characterization of trichomonads isolated from animal hosts in the Philippines,"Dimasuay,K.G. and Rivera,W.L.","Vet. Parasitol. 196 (3-4), 289-295 (2013)",Pentatrichomonas hominis,NA,NA,dog,Philippines,Molecular characterization of trichomonads isolated from animal hosts in the Philippines,"Dimasuay,K.G. and Rivera,W.L.","Vet. Parasitol. 196 (3-4), 289-295 (2013)"
JX565037,Eukaryota,Excavata,Metamonada,Parabasalia,Trichomonadea,Trichomonadida,Trichomonadidae,Pentatrichomonas,Pentatrichomonas hominis,Pentatrichomonas hominis,isolate,intestine environment (ENVO:2100002),mammalia-associated environment (ENVO missing),NA,9615,Canis lupus familiaris,Philippines: Quezon City,Molecular characterization of trichomonads isolated from animal hosts in the Philippines,"Dimasuay,K.G. and Rivera,W.L.","Vet. Parasitol. 196 (3-4), 289-295 (2013)",Pentatrichomonas hominis,NA,NA,dog,Philippines,Molecular characterization of trichomonads isolated from animal hosts in the Philippines,"Dimasuay,K.G. and Rivera,W.L.","Vet. Parasitol. 196 (3-4), 289-295 (2013)"
KC594038,Eukaryota,Excavata,Metamonada,Parabasalia,Trichomonadea,Trichomonadida,Trichomonadidae,Pentatrichomonas,Pentatrichomonas hominis,Pentatrichomonas hominis,isolate,intestine environment (ENVO:2100002),mammalia-associated environment (ENVO missing),NA,9685,Felis catus,Czech Republic,InPouch TF-Feline medium is not specific for Tritrichomonas foetus,"Ceplecha,V., Svoboda,M., Cepicka,I., Husnik,R., Horackova,K. and Svobodova,V.","Vet. Parasitol. 196 (3-4), 503-505 (2013)",Pentatrichomonas hominis,NA,NA,Felis catus,Czech Republic,InPouch TF-Feline medium is not specific for Tritrichomonas foetus,"Ceplecha,V., Svoboda,M., Cepicka,I., Husnik,R., Horackova,K. and Svobodova,V.","Vet. Parasitol. 196 (3-4), 503-505 (2013)"
KC953860,Eukaryota,Excavata,Metamonada,Parabasalia,Trichomonadea,Trichomonadida,Trichomonadidae,Pentatrichomonas,Pentatrichomonas hominis,Pentatrichomonas hominis,isolate,intestine environment (ENVO:2100002),mammalia-associated environment (ENVO missing),NA,9615,Canis lupus familiaris,Philippines: Quezon City,New Hosts of Simplicimonas similis and Trichomitus batrachorum Identified by 18S Ribosomal RNA Gene Sequences,"Dimasuay,K.G., Lavilla,O.J. and Rivera,W.L.","J Parasitol Res 2013, 831947 (2013)",Pentatrichomonas hominis,NA,NA,dog,Philippines,New Hosts of Simplicimonas similis and Trichomitus batrachorum Identified by 18S Ribosomal RNA Gene Sequences,"Dimasuay,K.G., Lavilla,O.J. and Rivera,W.L.","J Parasitol Res 2013, 831947 (2013)"
X87131,Eukaryota,Excavata,Metamonada,Parabasalia,Trichomonadea,Trichomonadida,Trichomonadidae,Pentatrichomonoides,Pentatrichomonoides scroa,Pentatrichomonoides scroa,environmental,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,13139,Mastotermes darwiniensis,Australia,Phylogenetic position of the two uncultivated trichomonads Pentatrichomonoides scroa Kirby and Metadevescovina extranea Kirby from the hindgut of the termite Mastotermes darwiniensis Froggatt,"Berchtold,M. and Koenig,H.","Syst. Appl. Microbiol. 18, 567-573 (1995)",Pentatrichomonoides scroa,PM13,NA,NA,NA,Phylogenetic position of the two uncultivated trichomonads Pentatrichomonoides scroa Kirby and Metadevescovina extranea Kirby from the hindgut of the termite Mastotermes darwiniensis Froggatt,"Berchtold,M. and Koenig,H.","Syst. Appl. Microbiol. 18, 567-573 (1995)"
AF052703,Eukaryota,Excavata,Metamonada,Parabasalia,Trichomonadea,Trichomonadida,Trichomonadidae,Pseudotrypanosoma,Pseudotrypanosoma giganteum,Pseudotrypanosoma giganteum,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,105774,Porotermes adamsoni,Australia: Victoria: Cathedral Ranges,"Phylogenetic diversity of parabasalian symbionts from termites, including the phylogenetic position of Pseudotrypanosoma and Trichonympha","Keeling,P.J., Poulsen,N. and McFadden,G.I.","J. Eukaryot. Microbiol. 45 (6), 643-650 (1998)",Pseudotrypanosoma giganteum,NA,NA,NA,NA,"Phylogenetic diversity of parabasalian symbionts from termites, including the phylogenetic position of Pseudotrypanosoma and Trichonympha","Keeling,P.J., Poulsen,N. and McFadden,G.I.","J. Eukaryot. Microbiol. 45 (6), 643-650 (1998)"
AF052704,Eukaryota,Excavata,Metamonada,Parabasalia,Trichomonadea,Trichomonadida,Trichomonadidae,Pseudotrypanosoma,Pseudotrypanosoma giganteum,Pseudotrypanosoma giganteum,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,105774,Porotermes adamsoni,Australia: Victoria: Cathedral Ranges,"Phylogenetic diversity of parabasalian symbionts from termites, including the phylogenetic position of Pseudotrypanosoma and Trichonympha","Keeling,P.J., Poulsen,N. and McFadden,G.I.","J. Eukaryot. Microbiol. 45 (6), 643-650 (1998)",Pseudotrypanosoma giganteum,NA,NA,NA,NA,"Phylogenetic diversity of parabasalian symbionts from termites, including the phylogenetic position of Pseudotrypanosoma and Trichonympha","Keeling,P.J., Poulsen,N. and McFadden,G.I.","J. Eukaryot. Microbiol. 45 (6), 643-650 (1998)"
AF052705,Eukaryota,Excavata,Metamonada,Parabasalia,Trichomonadea,Trichomonadida,Trichomonadidae,Pseudotrypanosoma,Pseudotrypanosoma giganteum,Pseudotrypanosoma giganteum,isolate,gut environment (ENVO missing),insecta-associated environment (ENVO missing),symbiont,105774,Porotermes adamsoni,Australia: Victoria: Cathedral Ranges,"Phylogenetic diversity of parabasalian symbionts from termites, including the phylogenetic position of Pseudotrypanosoma and Trichonympha","Keeling,P.J., Poulsen,N. and McFadden,G.I.","J. Eukaryot. Microbiol. 45 (6), 643-650 (1998)",Pseudotrypanosoma giganteum,NA,NA,NA,NA,"Phylogenetic diversity of parabasalian symbionts from termites, including the phylogenetic position of Pseudotrypanosoma and Trichonympha","Keeling,P.J., Poulsen,N. and McFadden,G.I.","J. Eukaryot. Microbiol. 45 (6), 643-650 (1998)"
